route,airline,travel_date,booking_date,advance_window_days,fare_class,base_fare,taxes,udf,convenience_fee,total_fare,source,timestamp_collected
MAA-DEL,SpiceJet,2026-07-14,2026-07-13,1,Premium Economy,1475.06,265.51,81.68,42,1864.25,MakeMyTrip,2026-07-13T00:00:00+00:00
MAA-DEL,IndiGo,2026-07-20,2026-07-13,7,Economy Flex,1076.1,193.7,81.68,35,1386.48,MakeMyTrip,2026-07-13T00:00:00+00:00
MAA-DEL,Air India,2026-07-20,2026-07-13,7,Premium Economy,1199.84,215.97,81.68,42,1539.49,Cleartrip,2026-07-13T00:00:00+00:00
MAA-DEL,Air India Express,2026-07-20,2026-07-13,7,Economy Saver,1154.81,207.87,81.68,49,1493.36,ixigo,2026-07-13T00:00:00+00:00
MAA-DEL,Akasa Air,2026-07-20,2026-07-13,7,Economy Flex,1221.51,219.87,81.68,35,1558.06,airline site,2026-07-13T00:00:00+00:00
MAA-DEL,SpiceJet,2026-07-20,2026-07-13,7,Premium Economy,1174.49,211.41,81.68,42,1509.58,MakeMyTrip,2026-07-13T00:00:00+00:00
MAA-DEL,IndiGo,2026-07-28,2026-07-13,15,Economy Flex,967.84,174.21,81.68,35,1258.73,MakeMyTrip,2026-07-13T00:00:00+00:00
MAA-DEL,Air India,2026-07-28,2026-07-13,15,Premium Economy,1033.95,186.11,81.68,42,1343.74,Cleartrip,2026-07-13T00:00:00+00:00
MAA-DEL,Air India Express,2026-07-28,2026-07-13,15,Economy Saver,1136.23,204.52,81.68,49,1471.43,ixigo,2026-07-13T00:00:00+00:00
MAA-DEL,Akasa Air,2026-07-28,2026-07-13,15,Economy Flex,1110.88,199.96,81.68,35,1427.52,airline site,2026-07-13T00:00:00+00:00
MAA-DEL,SpiceJet,2026-07-28,2026-07-13,15,Premium Economy,1208.06,217.45,81.68,42,1549.19,MakeMyTrip,2026-07-13T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-12,2026-07-13,30,Economy Flex,832.42,149.84,81.68,35,1098.94,MakeMyTrip,2026-07-13T00:00:00+00:00
MAA-DEL,Air India,2026-08-12,2026-07-13,30,Premium Economy,896.57,161.38,81.68,42,1181.63,Cleartrip,2026-07-13T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-12,2026-07-13,30,Economy Saver,867.62,156.17,81.68,49,1154.47,ixigo,2026-07-13T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-12,2026-07-13,30,Economy Flex,988.83,177.99,81.68,35,1283.5,airline site,2026-07-13T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-12,2026-07-13,30,Premium Economy,909.06,163.63,81.68,42,1196.37,MakeMyTrip,2026-07-13T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-27,2026-07-13,45,Economy Flex,618.24,111.28,81.68,35,846.2,MakeMyTrip,2026-07-13T00:00:00+00:00
MAA-DEL,Air India,2026-08-27,2026-07-13,45,Premium Economy,627.2,112.9,81.68,42,863.78,Cleartrip,2026-07-13T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-27,2026-07-13,45,Economy Saver,736.43,132.56,81.68,49,999.67,ixigo,2026-07-13T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-27,2026-07-13,45,Economy Flex,719.53,129.52,81.68,35,965.73,airline site,2026-07-13T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-27,2026-07-13,45,Premium Economy,709.11,127.64,81.68,42,960.43,MakeMyTrip,2026-07-13T00:00:00+00:00
DEL-BOM,IndiGo,2026-07-15,2026-07-14,1,Premium Economy,861.47,155.06,70.48,35,1122.01,airline site,2026-07-14T00:00:00+00:00
DEL-BOM,Air India,2026-07-15,2026-07-14,1,Economy Saver,873.5,157.23,70.48,42,1143.21,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BOM,Air India Express,2026-07-15,2026-07-14,1,Economy Flex,950.9,171.16,70.48,49,1241.54,Cleartrip,2026-07-14T00:00:00+00:00
DEL-BOM,Akasa Air,2026-07-15,2026-07-14,1,Premium Economy,849.62,152.93,70.48,35,1108.03,ixigo,2026-07-14T00:00:00+00:00
DEL-BOM,SpiceJet,2026-07-15,2026-07-14,1,Economy Saver,927.71,166.99,70.48,42,1207.18,airline site,2026-07-14T00:00:00+00:00
DEL-BOM,IndiGo,2026-07-21,2026-07-14,7,Premium Economy,760.31,136.86,70.48,35,1002.65,airline site,2026-07-14T00:00:00+00:00
DEL-BOM,Air India,2026-07-21,2026-07-14,7,Economy Saver,738.2,132.88,70.48,42,983.56,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BOM,Air India Express,2026-07-21,2026-07-14,7,Economy Flex,865.1,155.72,70.48,49,1140.3,Cleartrip,2026-07-14T00:00:00+00:00
DEL-BOM,Akasa Air,2026-07-21,2026-07-14,7,Premium Economy,847.11,152.48,70.48,35,1105.07,ixigo,2026-07-14T00:00:00+00:00
DEL-BOM,SpiceJet,2026-07-21,2026-07-14,7,Economy Saver,911.23,164.02,70.48,42,1187.73,airline site,2026-07-14T00:00:00+00:00
DEL-BOM,IndiGo,2026-07-29,2026-07-14,15,Premium Economy,778.82,140.19,70.48,35,1024.49,airline site,2026-07-14T00:00:00+00:00
DEL-BOM,Air India,2026-07-29,2026-07-14,15,Economy Saver,728.29,131.09,70.48,42,971.86,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BOM,Air India Express,2026-07-29,2026-07-14,15,Economy Flex,750.18,135.03,70.48,49,1004.69,Cleartrip,2026-07-14T00:00:00+00:00
DEL-BOM,Akasa Air,2026-07-29,2026-07-14,15,Premium Economy,791.02,142.38,70.48,35,1038.88,ixigo,2026-07-14T00:00:00+00:00
DEL-BOM,SpiceJet,2026-07-29,2026-07-14,15,Economy Saver,844.09,151.94,70.48,42,1108.51,airline site,2026-07-14T00:00:00+00:00
DEL-BOM,IndiGo,2026-08-13,2026-07-14,30,Premium Economy,588.61,105.95,70.48,35,800.04,airline site,2026-07-14T00:00:00+00:00
DEL-BOM,Air India,2026-08-13,2026-07-14,30,Economy Saver,605.46,108.98,70.48,42,826.92,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BOM,Air India Express,2026-08-13,2026-07-14,30,Economy Flex,662.97,119.33,70.48,49,901.78,Cleartrip,2026-07-14T00:00:00+00:00
DEL-BOM,Akasa Air,2026-08-13,2026-07-14,30,Premium Economy,666.43,119.96,70.48,35,891.87,ixigo,2026-07-14T00:00:00+00:00
DEL-BOM,SpiceJet,2026-08-13,2026-07-14,30,Economy Saver,624.23,112.36,70.48,42,849.07,airline site,2026-07-14T00:00:00+00:00
DEL-BOM,IndiGo,2026-08-28,2026-07-14,45,Premium Economy,499.33,89.88,70.48,35,694.69,airline site,2026-07-14T00:00:00+00:00
DEL-BOM,Air India,2026-08-28,2026-07-14,45,Economy Saver,561.19,101.01,70.48,42,774.68,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BOM,Air India Express,2026-08-28,2026-07-14,45,Economy Flex,557.1,100.28,70.48,49,776.86,Cleartrip,2026-07-14T00:00:00+00:00
DEL-BOM,Akasa Air,2026-08-28,2026-07-14,45,Premium Economy,549.96,98.99,70.48,35,754.43,ixigo,2026-07-14T00:00:00+00:00
DEL-BOM,SpiceJet,2026-08-28,2026-07-14,45,Economy Saver,576.11,103.7,70.48,42,792.29,airline site,2026-07-14T00:00:00+00:00
DEL-BLR,IndiGo,2026-07-15,2026-07-14,1,Premium Economy,1140.58,205.3,81.32,35,1462.2,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BLR,Air India,2026-07-15,2026-07-14,1,Economy Saver,1224.4,220.39,81.32,42,1568.11,Cleartrip,2026-07-14T00:00:00+00:00
DEL-BLR,Air India Express,2026-07-15,2026-07-14,1,Economy Flex,1154.53,207.82,81.32,49,1492.67,ixigo,2026-07-14T00:00:00+00:00
DEL-BLR,Akasa Air,2026-07-15,2026-07-14,1,Premium Economy,1226.57,220.78,81.32,35,1563.67,airline site,2026-07-14T00:00:00+00:00
DEL-BLR,SpiceJet,2026-07-15,2026-07-14,1,Economy Saver,1337.47,240.74,81.32,42,1701.53,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BLR,IndiGo,2026-07-21,2026-07-14,7,Premium Economy,1065.84,191.85,81.32,35,1374.01,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BLR,Air India,2026-07-21,2026-07-14,7,Economy Saver,1140.61,205.31,81.32,42,1469.24,Cleartrip,2026-07-14T00:00:00+00:00
DEL-BLR,Air India Express,2026-07-21,2026-07-14,7,Economy Flex,1090.72,196.33,81.32,49,1417.37,ixigo,2026-07-14T00:00:00+00:00
DEL-BLR,Akasa Air,2026-07-21,2026-07-14,7,Premium Economy,1215.35,218.76,81.32,35,1550.43,airline site,2026-07-14T00:00:00+00:00
DEL-BLR,SpiceJet,2026-07-21,2026-07-14,7,Economy Saver,1299.34,233.88,81.32,42,1656.54,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BLR,IndiGo,2026-07-29,2026-07-14,15,Premium Economy,998.48,179.73,81.32,35,1294.53,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BLR,Air India,2026-07-29,2026-07-14,15,Economy Saver,1021.49,183.87,81.32,42,1328.68,Cleartrip,2026-07-14T00:00:00+00:00
DEL-BLR,Air India Express,2026-07-29,2026-07-14,15,Economy Flex,1048.28,188.69,81.32,49,1367.29,ixigo,2026-07-14T00:00:00+00:00
DEL-BLR,Akasa Air,2026-07-29,2026-07-14,15,Premium Economy,1049.84,188.97,81.32,35,1355.13,airline site,2026-07-14T00:00:00+00:00
DEL-BLR,SpiceJet,2026-07-29,2026-07-14,15,Economy Saver,1123.73,202.27,81.32,42,1449.32,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BLR,IndiGo,2026-08-13,2026-07-14,30,Premium Economy,845.48,152.19,81.32,35,1113.99,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BLR,Air India,2026-08-13,2026-07-14,30,Economy Saver,829.42,149.3,81.32,42,1102.04,Cleartrip,2026-07-14T00:00:00+00:00
DEL-BLR,Air India Express,2026-08-13,2026-07-14,30,Economy Flex,830.63,149.51,81.32,49,1110.46,ixigo,2026-07-14T00:00:00+00:00
DEL-BLR,Akasa Air,2026-08-13,2026-07-14,30,Premium Economy,872.84,157.11,81.32,35,1146.27,airline site,2026-07-14T00:00:00+00:00
DEL-BLR,SpiceJet,2026-08-13,2026-07-14,30,Economy Saver,927.78,167.0,81.32,42,1218.1,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BLR,IndiGo,2026-08-28,2026-07-14,45,Premium Economy,671.58,120.88,81.32,35,908.78,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BLR,Air India,2026-08-28,2026-07-14,45,Economy Saver,717.0,129.06,81.32,42,969.38,Cleartrip,2026-07-14T00:00:00+00:00
DEL-BLR,Air India Express,2026-08-28,2026-07-14,45,Economy Flex,741.47,133.46,81.32,49,1005.25,ixigo,2026-07-14T00:00:00+00:00
DEL-BLR,Akasa Air,2026-08-28,2026-07-14,45,Premium Economy,775.69,139.62,81.32,35,1031.63,airline site,2026-07-14T00:00:00+00:00
DEL-BLR,SpiceJet,2026-08-28,2026-07-14,45,Economy Saver,816.0,146.88,81.32,42,1086.2,MakeMyTrip,2026-07-14T00:00:00+00:00
BOM-BLR,IndiGo,2026-07-15,2026-07-14,1,Premium Economy,687.08,123.67,65.16,35,910.91,Cleartrip,2026-07-14T00:00:00+00:00
BOM-BLR,Air India,2026-07-15,2026-07-14,1,Economy Saver,660.34,118.86,65.16,42,886.36,ixigo,2026-07-14T00:00:00+00:00
BOM-BLR,Air India Express,2026-07-15,2026-07-14,1,Economy Flex,681.94,122.75,65.16,49,918.85,airline site,2026-07-14T00:00:00+00:00
BOM-BLR,Akasa Air,2026-07-15,2026-07-14,1,Premium Economy,726.11,130.7,65.16,35,956.97,MakeMyTrip,2026-07-14T00:00:00+00:00
BOM-BLR,SpiceJet,2026-07-15,2026-07-14,1,Economy Saver,736.86,132.63,65.16,42,976.65,Cleartrip,2026-07-14T00:00:00+00:00
BOM-BLR,IndiGo,2026-07-21,2026-07-14,7,Premium Economy,603.08,108.55,65.16,35,811.79,Cleartrip,2026-07-14T00:00:00+00:00
BOM-BLR,Air India,2026-07-21,2026-07-14,7,Economy Saver,638.7,114.97,65.16,42,860.83,ixigo,2026-07-14T00:00:00+00:00
BOM-BLR,Air India Express,2026-07-21,2026-07-14,7,Economy Flex,657.64,118.38,65.16,49,890.18,airline site,2026-07-14T00:00:00+00:00
BOM-BLR,Akasa Air,2026-07-21,2026-07-14,7,Premium Economy,672.21,121.0,65.16,35,893.37,MakeMyTrip,2026-07-14T00:00:00+00:00
BOM-BLR,SpiceJet,2026-07-21,2026-07-14,7,Economy Saver,701.41,126.25,65.16,42,934.82,Cleartrip,2026-07-14T00:00:00+00:00
BOM-BLR,IndiGo,2026-07-29,2026-07-14,15,Premium Economy,608.18,109.47,65.16,35,817.81,Cleartrip,2026-07-14T00:00:00+00:00
BOM-BLR,Air India,2026-07-29,2026-07-14,15,Economy Saver,606.55,109.18,65.16,42,822.89,ixigo,2026-07-14T00:00:00+00:00
BOM-BLR,Air India Express,2026-07-29,2026-07-14,15,Economy Flex,675.48,121.59,65.16,49,911.23,airline site,2026-07-14T00:00:00+00:00
BOM-BLR,Akasa Air,2026-07-29,2026-07-14,15,Premium Economy,642.4,115.63,65.16,35,858.19,MakeMyTrip,2026-07-14T00:00:00+00:00
BOM-BLR,SpiceJet,2026-07-29,2026-07-14,15,Economy Saver,649.45,116.9,65.16,42,873.51,Cleartrip,2026-07-14T00:00:00+00:00
BOM-BLR,IndiGo,2026-08-13,2026-07-14,30,Premium Economy,500.39,90.07,65.16,35,690.62,Cleartrip,2026-07-14T00:00:00+00:00
BOM-BLR,Air India,2026-08-13,2026-07-14,30,Economy Saver,518.5,93.33,65.16,42,718.99,ixigo,2026-07-14T00:00:00+00:00
BOM-BLR,Air India Express,2026-08-13,2026-07-14,30,Economy Flex,535.74,96.43,65.16,49,746.33,airline site,2026-07-14T00:00:00+00:00
BOM-BLR,Akasa Air,2026-08-13,2026-07-14,30,Premium Economy,579.57,104.32,65.16,35,784.05,MakeMyTrip,2026-07-14T00:00:00+00:00
BOM-BLR,SpiceJet,2026-08-13,2026-07-14,30,Economy Saver,540.29,97.25,65.16,42,744.7,Cleartrip,2026-07-14T00:00:00+00:00
BOM-BLR,IndiGo,2026-08-28,2026-07-14,45,Premium Economy,451.23,81.22,65.16,35,632.61,Cleartrip,2026-07-14T00:00:00+00:00
BOM-BLR,Air India,2026-08-28,2026-07-14,45,Economy Saver,454.31,81.78,65.16,42,643.25,ixigo,2026-07-14T00:00:00+00:00
BOM-BLR,Air India Express,2026-08-28,2026-07-14,45,Economy Flex,441.24,79.42,65.16,49,634.82,airline site,2026-07-14T00:00:00+00:00
BOM-BLR,Akasa Air,2026-08-28,2026-07-14,45,Premium Economy,484.64,87.24,65.16,35,672.04,MakeMyTrip,2026-07-14T00:00:00+00:00
BOM-BLR,SpiceJet,2026-08-28,2026-07-14,45,Economy Saver,503.51,90.63,65.16,42,701.3,Cleartrip,2026-07-14T00:00:00+00:00
DEL-CCU,IndiGo,2026-07-15,2026-07-14,1,Premium Economy,875.98,157.68,73.49,35,1142.15,ixigo,2026-07-14T00:00:00+00:00
DEL-CCU,Air India,2026-07-15,2026-07-14,1,Economy Saver,942.25,169.6,73.49,42,1227.34,airline site,2026-07-14T00:00:00+00:00
DEL-CCU,Air India Express,2026-07-15,2026-07-14,1,Economy Flex,904.27,162.77,73.49,49,1189.53,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-CCU,Akasa Air,2026-07-15,2026-07-14,1,Premium Economy,955.4,171.97,73.49,35,1235.86,Cleartrip,2026-07-14T00:00:00+00:00
DEL-CCU,SpiceJet,2026-07-15,2026-07-14,1,Economy Saver,1092.21,196.6,73.49,42,1404.3,ixigo,2026-07-14T00:00:00+00:00
DEL-CCU,IndiGo,2026-07-21,2026-07-14,7,Premium Economy,840.19,151.23,73.49,35,1099.91,ixigo,2026-07-14T00:00:00+00:00
DEL-CCU,Air India,2026-07-21,2026-07-14,7,Economy Saver,846.99,152.46,73.49,42,1114.94,airline site,2026-07-14T00:00:00+00:00
DEL-CCU,Air India Express,2026-07-21,2026-07-14,7,Economy Flex,928.31,167.1,73.49,49,1217.9,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-CCU,Akasa Air,2026-07-21,2026-07-14,7,Premium Economy,929.67,167.34,73.49,35,1205.5,Cleartrip,2026-07-14T00:00:00+00:00
DEL-CCU,SpiceJet,2026-07-21,2026-07-14,7,Economy Saver,962.33,173.22,73.49,42,1251.04,ixigo,2026-07-14T00:00:00+00:00
DEL-CCU,IndiGo,2026-07-29,2026-07-14,15,Premium Economy,810.56,145.9,73.49,35,1064.95,ixigo,2026-07-14T00:00:00+00:00
DEL-CCU,Air India,2026-07-29,2026-07-14,15,Economy Saver,776.92,139.85,73.49,42,1032.26,airline site,2026-07-14T00:00:00+00:00
DEL-CCU,Air India Express,2026-07-29,2026-07-14,15,Economy Flex,811.99,146.16,73.49,49,1080.64,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-CCU,Akasa Air,2026-07-29,2026-07-14,15,Premium Economy,876.82,157.83,73.49,35,1143.14,Cleartrip,2026-07-14T00:00:00+00:00
DEL-CCU,SpiceJet,2026-07-29,2026-07-14,15,Economy Saver,935.74,168.43,73.49,42,1219.66,ixigo,2026-07-14T00:00:00+00:00
DEL-CCU,IndiGo,2026-08-13,2026-07-14,30,Premium Economy,687.34,123.72,73.49,35,919.55,ixigo,2026-07-14T00:00:00+00:00
DEL-CCU,Air India,2026-08-13,2026-07-14,30,Economy Saver,661.88,119.14,73.49,42,896.51,airline site,2026-07-14T00:00:00+00:00
DEL-CCU,Air India Express,2026-08-13,2026-07-14,30,Economy Flex,725.51,130.59,73.49,49,978.59,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-CCU,Akasa Air,2026-08-13,2026-07-14,30,Premium Economy,700.24,126.04,73.49,35,934.77,Cleartrip,2026-07-14T00:00:00+00:00
DEL-CCU,SpiceJet,2026-08-13,2026-07-14,30,Economy Saver,796.85,143.43,73.49,42,1055.77,ixigo,2026-07-14T00:00:00+00:00
DEL-CCU,IndiGo,2026-08-28,2026-07-14,45,Premium Economy,542.81,97.71,73.49,35,749.01,ixigo,2026-07-14T00:00:00+00:00
DEL-CCU,Air India,2026-08-28,2026-07-14,45,Economy Saver,608.51,109.53,73.49,42,833.53,airline site,2026-07-14T00:00:00+00:00
DEL-CCU,Air India Express,2026-08-28,2026-07-14,45,Economy Flex,584.96,105.29,73.49,49,812.74,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-CCU,Akasa Air,2026-08-28,2026-07-14,45,Premium Economy,660.31,118.86,73.49,35,887.66,Cleartrip,2026-07-14T00:00:00+00:00
DEL-CCU,SpiceJet,2026-08-28,2026-07-14,45,Economy Saver,646.61,116.39,73.49,42,878.49,ixigo,2026-07-14T00:00:00+00:00
BLR-HYD,IndiGo,2026-07-15,2026-07-14,1,Premium Economy,445.35,80.16,58.26,35,618.77,airline site,2026-07-14T00:00:00+00:00
BLR-HYD,Air India,2026-07-15,2026-07-14,1,Economy Saver,463.57,83.44,58.26,42,647.27,MakeMyTrip,2026-07-14T00:00:00+00:00
BLR-HYD,Air India Express,2026-07-15,2026-07-14,1,Economy Flex,494.36,88.98,58.26,49,690.6,Cleartrip,2026-07-14T00:00:00+00:00
BLR-HYD,Akasa Air,2026-07-15,2026-07-14,1,Premium Economy,510.98,91.98,58.26,35,696.22,ixigo,2026-07-14T00:00:00+00:00
BLR-HYD,SpiceJet,2026-07-15,2026-07-14,1,Economy Saver,505.59,91.01,58.26,42,696.86,airline site,2026-07-14T00:00:00+00:00
BLR-HYD,IndiGo,2026-07-21,2026-07-14,7,Premium Economy,441.24,79.42,58.26,35,613.92,airline site,2026-07-14T00:00:00+00:00
BLR-HYD,Air India,2026-07-21,2026-07-14,7,Economy Saver,461.6,83.09,58.26,42,644.95,MakeMyTrip,2026-07-14T00:00:00+00:00
BLR-HYD,Air India Express,2026-07-21,2026-07-14,7,Economy Flex,464.56,83.62,58.26,49,655.44,Cleartrip,2026-07-14T00:00:00+00:00
BLR-HYD,Akasa Air,2026-07-21,2026-07-14,7,Premium Economy,455.39,81.97,58.26,35,630.62,ixigo,2026-07-14T00:00:00+00:00
BLR-HYD,SpiceJet,2026-07-21,2026-07-14,7,Economy Saver,472.78,85.1,58.26,42,658.14,airline site,2026-07-14T00:00:00+00:00
BLR-HYD,IndiGo,2026-07-29,2026-07-14,15,Premium Economy,418.89,75.4,58.26,35,587.55,airline site,2026-07-14T00:00:00+00:00
BLR-HYD,Air India,2026-07-29,2026-07-14,15,Economy Saver,440.25,79.24,58.26,42,619.75,MakeMyTrip,2026-07-14T00:00:00+00:00
BLR-HYD,Air India Express,2026-07-29,2026-07-14,15,Economy Flex,455.62,82.01,58.26,49,644.89,Cleartrip,2026-07-14T00:00:00+00:00
BLR-HYD,Akasa Air,2026-07-29,2026-07-14,15,Premium Economy,455.72,82.03,58.26,35,631.01,ixigo,2026-07-14T00:00:00+00:00
BLR-HYD,SpiceJet,2026-07-29,2026-07-14,15,Economy Saver,459.47,82.7,58.26,42,642.43,airline site,2026-07-14T00:00:00+00:00
BLR-HYD,IndiGo,2026-08-13,2026-07-14,30,Premium Economy,376.95,67.85,58.26,35,538.06,airline site,2026-07-14T00:00:00+00:00
BLR-HYD,Air India,2026-08-13,2026-07-14,30,Economy Saver,372.16,66.99,58.26,42,539.41,MakeMyTrip,2026-07-14T00:00:00+00:00
BLR-HYD,Air India Express,2026-08-13,2026-07-14,30,Economy Flex,384.32,69.18,58.26,49,560.76,Cleartrip,2026-07-14T00:00:00+00:00
BLR-HYD,Akasa Air,2026-08-13,2026-07-14,30,Premium Economy,385.28,69.35,58.26,35,547.89,ixigo,2026-07-14T00:00:00+00:00
BLR-HYD,SpiceJet,2026-08-13,2026-07-14,30,Economy Saver,388.2,69.88,58.26,42,558.34,airline site,2026-07-14T00:00:00+00:00
BLR-HYD,IndiGo,2026-08-28,2026-07-14,45,Premium Economy,340.22,61.24,58.26,35,494.72,airline site,2026-07-14T00:00:00+00:00
BLR-HYD,Air India,2026-08-28,2026-07-14,45,Economy Saver,345.3,62.15,58.26,42,507.71,MakeMyTrip,2026-07-14T00:00:00+00:00
BLR-HYD,Air India Express,2026-08-28,2026-07-14,45,Economy Flex,355.1,63.92,58.26,49,526.28,Cleartrip,2026-07-14T00:00:00+00:00
BLR-HYD,Akasa Air,2026-08-28,2026-07-14,45,Premium Economy,360.25,64.84,58.26,35,518.35,ixigo,2026-07-14T00:00:00+00:00
BLR-HYD,SpiceJet,2026-08-28,2026-07-14,45,Economy Saver,363.99,65.52,58.26,42,529.77,airline site,2026-07-14T00:00:00+00:00
MAA-DEL,IndiGo,2026-07-15,2026-07-14,1,Premium Economy,1179.18,212.25,81.68,35,1508.11,MakeMyTrip,2026-07-14T00:00:00+00:00
MAA-DEL,Air India,2026-07-15,2026-07-14,1,Economy Saver,1193.99,214.92,81.68,42,1532.59,Cleartrip,2026-07-14T00:00:00+00:00
MAA-DEL,Air India Express,2026-07-15,2026-07-14,1,Economy Flex,1265.38,227.77,81.68,49,1623.83,ixigo,2026-07-14T00:00:00+00:00
MAA-DEL,Akasa Air,2026-07-15,2026-07-14,1,Premium Economy,1244.97,224.09,81.68,35,1585.74,airline site,2026-07-14T00:00:00+00:00
MAA-DEL,SpiceJet,2026-07-15,2026-07-14,1,Economy Saver,1356.32,244.14,81.68,42,1724.14,MakeMyTrip,2026-07-14T00:00:00+00:00
MAA-DEL,IndiGo,2026-07-21,2026-07-14,7,Premium Economy,1112.19,200.19,81.68,35,1429.06,MakeMyTrip,2026-07-14T00:00:00+00:00
MAA-DEL,Air India,2026-07-21,2026-07-14,7,Economy Saver,1089.27,196.07,81.68,42,1409.02,Cleartrip,2026-07-14T00:00:00+00:00
MAA-DEL,Air India Express,2026-07-21,2026-07-14,7,Economy Flex,1167.74,210.19,81.68,49,1508.61,ixigo,2026-07-14T00:00:00+00:00
MAA-DEL,Akasa Air,2026-07-21,2026-07-14,7,Premium Economy,1173.32,211.2,81.68,35,1501.2,airline site,2026-07-14T00:00:00+00:00
MAA-DEL,SpiceJet,2026-07-21,2026-07-14,7,Economy Saver,1219.72,219.55,81.68,42,1562.95,MakeMyTrip,2026-07-14T00:00:00+00:00
MAA-DEL,IndiGo,2026-07-29,2026-07-14,15,Premium Economy,939.07,169.03,81.68,35,1224.78,MakeMyTrip,2026-07-14T00:00:00+00:00
MAA-DEL,Air India,2026-07-29,2026-07-14,15,Economy Saver,1080.93,194.57,81.68,42,1399.18,Cleartrip,2026-07-14T00:00:00+00:00
MAA-DEL,Air India Express,2026-07-29,2026-07-14,15,Economy Flex,1111.99,200.16,81.68,49,1442.83,ixigo,2026-07-14T00:00:00+00:00
MAA-DEL,Akasa Air,2026-07-29,2026-07-14,15,Premium Economy,1126.24,202.72,81.68,35,1445.64,airline site,2026-07-14T00:00:00+00:00
MAA-DEL,SpiceJet,2026-07-29,2026-07-14,15,Economy Saver,1237.93,222.83,81.68,42,1584.44,MakeMyTrip,2026-07-14T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-13,2026-07-14,30,Premium Economy,805.2,144.94,81.68,35,1066.82,MakeMyTrip,2026-07-14T00:00:00+00:00
MAA-DEL,Air India,2026-08-13,2026-07-14,30,Economy Saver,944.89,170.08,81.68,42,1238.65,Cleartrip,2026-07-14T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-13,2026-07-14,30,Economy Flex,861.56,155.08,81.68,49,1147.32,ixigo,2026-07-14T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-13,2026-07-14,30,Premium Economy,908.52,163.53,81.68,35,1188.73,airline site,2026-07-14T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-13,2026-07-14,30,Economy Saver,912.49,164.25,81.68,42,1200.42,MakeMyTrip,2026-07-14T00:00:00+00:00
MAA-DEL,IndiGo,2026-08-28,2026-07-14,45,Premium Economy,696.17,125.31,81.68,35,938.16,MakeMyTrip,2026-07-14T00:00:00+00:00
MAA-DEL,Air India,2026-08-28,2026-07-14,45,Economy Saver,732.3,131.81,81.68,42,987.79,Cleartrip,2026-07-14T00:00:00+00:00
MAA-DEL,Air India Express,2026-08-28,2026-07-14,45,Economy Flex,729.39,131.29,81.68,49,991.36,ixigo,2026-07-14T00:00:00+00:00
MAA-DEL,Akasa Air,2026-08-28,2026-07-14,45,Premium Economy,808.54,145.54,81.68,35,1070.76,airline site,2026-07-14T00:00:00+00:00
MAA-DEL,SpiceJet,2026-08-28,2026-07-14,45,Economy Saver,786.18,141.51,81.68,42,1051.37,MakeMyTrip,2026-07-14T00:00:00+00:00
DEL-BOM,IndiGo,2026-07-16,2026-07-15,1,Economy Saver,828.91,149.2,70.48,35,1083.59,airline site,2026-07-15T00:00:00+00:00
DEL-BOM,Air India,2026-07-16,2026-07-15,1,Economy Flex,817.78,147.2,70.48,42,1077.46,MakeMyTrip,2026-07-15T00:00:00+00:00
DEL-BOM,Air India Express,2026-07-16,2026-07-15,1,Premium Economy,894.37,160.99,70.48,49,1174.84,Cleartrip,2026-07-15T00:00:00+00:00
DEL-BOM,Akasa Air,2026-07-16,2026-07-15,1,Economy Saver,903.56,162.64,70.48,35,1171.68,ixigo,2026-07-15T00:00:00+00:00
DEL-BOM,SpiceJet,2026-07-16,2026-07-15,1,Economy Flex,914.07,164.53,70.48,42,1191.08,airline site,2026-07-15T00:00:00+00:00
